User ID,Date/Time,Age,Weight,Height,Tiredness,Calm,Nutrition,Hydration,Performance,Positive Emotion,Negative Emotion,Cluster,PCA1,PCA2,Performance_Status,Emotion_Status,Cluster_Stage
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T18:04:02.727Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,71.81035232543945,30.610676765441895,2,16.831500973858553,-14.917133272887057,Normal,1,Normal | 1
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T19:02:57.742Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,100.0,0.0,2,-8.27441158584655,-28.55739748519349,Normal,1,Normal | 1
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-27T19:19:57.842Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,34.337858426469545,-5.479509517255387,Underperforming,0,Underperforming | 0
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-08-29T17:28:32.831Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,34.337858426469545,-5.479509517255387,Underperforming,0,Underperforming | 0
00zbJz2Ez4WplqrL5NXHPXzsxSB3,2023-09-05T22:27:45.510Z,32.0,70.0,184.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,34.337858426469545,-5.479509517255387,Underperforming,0,Underperforming | 0
0JNEOMRwrvNj6u9DMztquJBnPQ63,2023-07-14T22:07:23.137Z,20.0,57.0,153.0,100.0,19.0,50.0,24.0,7.0,0.0,100.0,0,105.46028526345862,60.47392363152611,Underperforming,0,Underperforming | 0
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-04T14:11:13.000Z,17.0,128.0,191.0,50.0,75.0,80.0,70.0,50.0,62.875,23.466666666666665,2,11.165913671174664,-56.245143971844826,Normal,1,Normal | 1
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-05T10:17:46.000Z,17.0,128.0,191.0,24.0,20.0,60.0,70.0,71.0,52.6875,62.875,0,57.618112924069344,-53.04064700478769,Underperforming,0,Underperforming | 0
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-05T11:47:04.000Z,17.0,128.0,191.0,50.0,50.0,71.0,67.0,78.0,67.12680053710938,34.86753845214844,2,19.23856968684381,-47.378511426983735,Normal,1,Normal | 1
0dFpa4IVaTYYRGZMZFTduf373b53,2023-04-06T11:50:28.000Z,17.0,128.0,191.0,70.0,72.0,65.0,25.0,50.0,72.39830017089844,28.25088882446289,2,23.811558840660155,-25.75577095071418,Normal,1,Normal | 1
