User ID,obs_count,non_nan_Tiredness_count,non_nan_Calm_count,non_nan_Nutrition_count,non_nan_Hydration_count,non_nan_Performance_count,non_nan_Concentrate_count,non_nan_Happy_count,non_nan_Determined_count,non_nan_Excited_count,non_nan_Loving_count,non_nan_Motivated_count,non_nan_Powerful_count,non_nan_Helpful_count,non_nan_Lively_count,non_nan_Peaceful_count,non_nan_Proud_count,non_nan_Optimistic_count,non_nan_Valued_count,non_nan_Content_count,non_nan_Hopeful_count,non_nan_Confident_count,non_nan_Relieved_count,non_nan_Annoyed_count,non_nan_Nervous_count,non_nan_Overwhelmed_count,non_nan_Irritated_count,non_nan_Anxious_count,non_nan_Afraid_count,non_nan_Angry_count,non_nan_Worried_count,non_nan_Bored_count,non_nan_Lonely_count,non_nan_Weary_count,non_nan_Disappointed_count,non_nan_Confused_count,non_nan_Embarrassed_count,non_nan_Sad_count,non_nan_Steps_count,non_nan_Sleep_count,non_nan_HRV_count,non_nan_Sleep Heart Rate_count,non_nan_Glucose_count,non_nan_Callories Burn_count,non_nan_Calories Intake_count
00zbJz2Ez4WplqrL5NXHPXzsxSB3,21,21,21,21,21,21,0,10,2,1,1,2,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1
0JNEOMRwrvNj6u9DMztquJBnPQ63,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0dFpa4IVaTYYRGZMZFTduf373b53,67,66,65,67,67,37,0,4,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,2,2,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1WE7nEyI7XY1YAeIYE0QPoy3DC63,15,15,15,15,15,15,14,2,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,15,11,10,11,12,15,12
1xVE4gKi6EWOZVjAjrFkypp5gst1,21,21,21,21,21,21,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2N57YUL8awNjuVW7zj3HbKF19Ap2,80,78,78,74,74,71,72,0,1,8,0,11,0,0,0,3,0,0,0,2,0,0,0,5,7,0,0,6,0,1,0,0,0,0,0,0,0,0,27,55,55,51,27,63,27
3bYMNL0Z1zcSxsFiYDjAbZbcQRS2,7,6,7,7,7,7,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3yBRujblzGZwtwmZyhBKLkpagFI2,11,9,11,11,11,11,0,8,1,5,1,5,0,0,1,6,2,1,1,0,0,1,1,2,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
42ooobP2FNR8zUqZSxq6sGckeQ02,26,0,0,0,0,0,0,2,12,6,0,8,3,3,2,4,6,4,5,5,7,2,2,4,4,2,2,5,1,0,1,7,7,8,4,3,2,4,0,0,0,0,0,0,0
49RY7VCdj9U3EopHXUQYZYiFmgM2,119,74,74,74,74,74,0,63,24,10,2,20,0,3,0,31,11,17,9,35,17,4,7,3,12,0,8,17,0,0,1,2,0,21,1,0,0,0,0,0,0,0,0,0,0
49ckOPinIccaIB8cPKpx6VwHuKa2,19,13,16,12,13,9,0,6,2,0,1,2,1,0,0,4,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4atL9SgVdiZDTGnKrrMfVNzfvwO2,7,7,7,7,7,7,0,2,3,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4oeL6Ney5FPsajPRI9qSsh1lMCQ2,13,13,13,13,13,13,0,3,2,0,4,2,2,0,0,3,3,1,0,2,2,1,1,1,1,2,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
5BEStS1bbiWK52HCaVF80oJihoj1,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5Oz85agfyzfxya2ppHvY3F7nmu12,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
